SalesKey,DateKey,ProductKey,CustomerKey,RegionKey,UnitsSold,UnitPrice,DiscountPct,CostPerUnit,ReturnFlag,GrossRevenue,NetRevenue,TotalCost,Profit,RevenueLeakage
1,20230725,P008,C00309,3,2,975,10,607.78,1,1950,1755,1215.56,539.44,1755
2,20211030,P011,C00160,4,6,1627,10,1218.29,0,9762,8785.8,7309.74,1476.06,0
3,20240409,P005,C00056,3,12,1742,5,1307.96,0,20904,19858.8,15695.52,4163.28,0
4,20220309,P004,C00139,5,6,233,25,193.04,0,1398,1048.5,1158.24,-109.74,0
5,20230513,P011,C00368,5,10,1016,15,723.97,0,10160,8636,7239.7,1396.3,0
6,20220531,P012,C00105,5,10,812,30,489.07,0,8120,5684,4890.7,793.3,0
7,20230227,P005,C00479,1,9,1089,15,841.13,0,9801,8330.85,7570.17,760.68,0
8,20240511,P010,C00376,4,1,1661,20,1150.98,0,1661,1328.8,1150.98,177.82,0
9,20250530,P005,C00264,1,6,144,20,79.5,0,864,691.2,477,214.2,0
10,20211109,P010,C00479,1,3,277,30,166.05,0,831,581.7,498.15,83.55,0
11,20201219,P006,C00064,3,5,1468,20,906.5,0,7340,5872,4532.5,1339.5,0
12,20230527,P005,C00474,2,5,750,25,556.37,0,3750,2812.5,2781.85,30.65,0
13,20220410,P003,C00333,2,8,253,25,127.38,1,2024,1518,1019.04,498.96,1518
14,20230726,P007,C00097,3,4,592,30,352.37,1,2368,1657.6,1409.48,248.12,1657.6
15,20240613,P001,C00229,1,6,1748,20,1400.26,0,10488,8390.4,8401.56,-11.16,0
16,20221222,P004,C00386,4,12,505,20,409.75,0,6060,4848,4917,-69,0
17,20201211,P001,C00124,2,9,779,0,570.2,1,7011,7011,5131.8,1879.2,7011
18,20230513,P009,C00517,4,11,1156,10,724.26,0,12716,11444.4,7966.86,3477.54,0
19,20200804,P006,C00061,4,6,499,15,293.17,0,2994,2544.9,1759.02,785.88,0
20,20231210,P005,C00397,5,7,981,0,699.86,1,6867,6867,4899.02,1967.98,6867
21,20241107,P001,C00157,5,7,1755,5,1445.36,0,12285,11670.75,10117.52,1553.23,0
22,20240117,P001,C00264,1,8,362,20,285.76,0,2896,2316.8,2286.08,30.72,0
23,20250109,P006,C00265,5,12,450,15,370,0,5400,4590,4440,150,0
24,20200405,P007,C00168,2,9,1622,25,986.37,1,14598,10948.5,8877.33,2071.17,10948.5
25,20220118,P003,C00068,4,12,1276,20,1020.39,0,15312,12249.6,12244.68,4.92,0
26,20230817,P012,C00326,4,12,1349,20,1098.93,0,16188,12950.4,13187.16,-236.76,0
27,20230330,P005,C00208,3,11,1109,30,712.93,0,12199,8539.3,7842.23,697.07,0
28,20210412,P001,C00409,3,11,1407,30,974.89,0,15477,10833.9,10723.79,110.11,0
29,20220202,P001,C00035,4,1,1329,25,675.54,0,1329,996.75,675.54,321.21,0
30,20210724,P009,C00309,4,12,1199,30,818.56,1,14388,10071.6,9822.72,248.88,10071.6
